iter	Passed	Remaining
432	1683	6091
433	1687	6087
434	1691	6085
435	1696	6083
436	1700	6080
437	1703	6075
438	1707	6072
439	1711	6068
440	1715	6065
441	1719	6062
442	1723	6059
443	1727	6055
444	1732	6053
445	1735	6048
446	1739	6044
447	1743	6039
448	1748	6039
449	1751	6033
450	1754	6025
451	1757	6020
452	1762	6017
453	1765	6013
454	1770	6010
455	1773	6005
456	1777	6000
457	1781	5996
458	1784	5992
459	1789	5989
460	1793	5986
461	1797	5982
462	1801	5979
463	1805	5976
464	1809	5973
465	1813	5969
466	1817	5965
467	1820	5960
468	1824	5955
469	1828	5953
470	1831	5946
471	1834	5939
472	1838	5935
473	1844	5937
474	1848	5934
475	1852	5930
476	1857	5931
477	1861	5928
478	1865	5924
479	1870	5923
480	1874	5920
481	1877	5912
482	1881	5909
483	1886	5908
484	1889	5901
485	1892	5894
486	1897	5894
487	1901	5891
488	1905	5889
489	1910	5887
490	1914	5882
491	1917	5878
492	1921	5873
493	1926	5871
494	1930	5868
495	1933	5863
496	1937	5859
497	1941	5854
498	1944	5849
499	1947	5843
500	1952	5842
501	1956	5838
502	1960	5835
503	1965	5834
504	1969	5831
505	1973	5828
506	1979	5829
507	1983	5826
508	1987	5821
509	1991	5818
510	1995	5816
511	1999	5811
512	2003	5806
513	2007	5803
514	2011	5799
515	2014	5793
516	2018	5790
517	2022	5786
518	2026	5783
519	2030	5778
520	2035	5778
521	2039	5775
522	2043	5772
523	2047	5767
524	2051	5764
525	2055	5760
526	2058	5754
527	2063	5751
528	2066	5746
529	2070	5741
530	2073	5736
531	2077	5732
532	2081	5728
533	2085	5724
534	2090	5723
535	2094	5720
536	2098	5716
537	2102	5713
538	2106	5710
539	2110	5705
540	2113	5700
541	2118	5698
542	2122	5694
543	2126	5692
544	2131	5691
545	2135	5688
546	2140	5684
547	2143	5680
548	2148	5677
549	2151	5672
550	2155	5667
551	2159	5665
552	2163	5660
553	2167	5656
554	2170	5652
555	2175	5649
556	2179	5646
557	2183	5643
558	2188	5640
559	2192	5636
560	2195	5632
561	2200	5629
562	2203	5625
563	2207	5621
564	2211	5616
565	2215	5612
566	2218	5607
567	2222	5602
568	2225	5598
569	2231	5597
570	2234	5593
571	2238	5588
572	2242	5583
573	2246	5579
574	2249	5575
575	2253	5571
576	2258	5570
577	2262	5565
578	2265	5560
579	2269	5555
580	2272	5551
581	2276	5545
582	2279	5541
583	2285	5540
584	2294	5548
585	2301	5553
586	2308	5557
587	2312	5553
588	2318	5555
589	2325	5557
590	2329	5553
591	2333	5549
592	2337	5545
593	2341	5541
594	2344	5537
595	2348	5533
596	2352	5528
597	2356	5524
598	2359	5518
599	2363	5513
600	2366	5509
601	2369	5502
602	2372	5496
603	2377	5495
604	2381	5491
605	2385	5486
606	2388	5482
607	2391	5475
608	2394	5469
609	2398	5465
610	2401	5460
611	2405	5456
612	2410	5453
613	2413	5448
614	2418	5446
615	2422	5443
616	2425	5437
617	2429	5433
618	2433	5429
619	2437	5424
620	2440	5420
621	2444	5416
622	2449	5413
623	2452	5408
624	2456	5403
625	2459	5397
626	2463	5393
627	2466	5388
628	2469	5382
629	2473	5378
630	2476	5373
631	2480	5369
632	2483	5363
633	2488	5361
634	2492	5357
635	2496	5353
636	2499	5348
637	2505	5348
638	2509	5344
639	2512	5339
640	2517	5338
641	2521	5334
642	2525	5329
643	2530	5327
644	2533	5322
645	2537	5319
646	2541	5315
647	2546	5313
648	2550	5310
649	2554	5306
650	2560	5304
651	2563	5300
652	2567	5295
653	2570	5290
