step,mloss,gloss,loss
15800.0,0.9162,0.4665,1.3827
15900.0,0.9231,0.469,1.3921000000000001
16000.0,0.9175,0.4668,1.3843
16100.0,0.9187,0.4668,1.3855
16200.0,0.9144,0.4676,1.3820000000000001
16300.0,0.916,0.4667,1.3827
16400.0,0.9094,0.4668,1.3761999999999999
16500.0,0.9154,0.4686,1.384
16600.0,0.9137,0.4691,1.3828
16700.0,0.9107,0.4684,1.3791
16800.0,0.9115,0.4661,1.3776
16900.0,0.9112,0.4679,1.3791
17000.0,0.9145,0.4665,1.381
17100.0,0.9149,0.4691,1.3840000000000001
17200.0,0.908,0.4679,1.3759000000000001
17300.0,0.9114,0.467,1.3784
17400.0,0.9152,0.4667,1.3819
17500.0,0.9075,0.4664,1.3739
17600.0,0.9079,0.4664,1.3743
17700.0,0.918,0.4683,1.3863
17800.0,0.9099,0.4652,1.3751
17900.0,0.9156,0.4664,1.382
18000.0,0.9117,0.4664,1.3780999999999999
18100.0,0.9097,0.4653,1.375
18200.0,0.91,0.4647,1.3747
18300.0,0.9098,0.4659,1.3757000000000001
18400.0,0.9153,0.4639,1.3792
18500.0,0.9077,0.4672,1.3749
18600.0,0.9104,0.4641,1.3745
18700.0,0.908,0.4637,1.3717000000000001
18800.0,0.9079,0.4657,1.3736000000000002
18900.0,0.9067,0.4659,1.3725999999999998
19000.0,0.9102,0.4654,1.3756
19100.0,0.9052,0.4657,1.3709
19200.0,0.9061,0.4638,1.3699
19300.0,0.9072,0.4646,1.3718
19400.0,0.9094,0.4651,1.3745
19500.0,0.9122,0.4653,1.3775
19600.0,0.907,0.4634,1.3704
19700.0,0.9157,0.4639,1.3796
19800.0,0.908,0.4642,1.3722
19900.0,0.9028,0.4637,1.3665
20000.0,0.9066,0.4631,1.3697
20100.0,0.9087,0.4641,1.3728
20200.0,0.9053,0.4637,1.369
20300.0,0.9064,0.4645,1.3709
20400.0,0.9055,0.4626,1.3681
20500.0,0.9052,0.4616,1.3668
20600.0,0.904,0.4633,1.3673
20700.0,0.9032,0.4623,1.3655
20800.0,0.9069,0.4639,1.3708
20900.0,0.9048,0.4626,1.3674
21000.0,0.9061,0.4628,1.3689
21100.0,0.9057,0.4626,1.3683
21200.0,0.9071,0.4623,1.3694
21300.0,0.906,0.4631,1.3691
21400.0,0.9045,0.4615,1.366
21500.0,0.9061,0.4621,1.3682
21600.0,0.9097,0.4622,1.3719
21700.0,0.9053,0.4632,1.3685
21800.0,0.9047,0.4618,1.3664999999999998
21900.0,0.904,0.4653,1.3693
22000.0,0.9027,0.4618,1.3645
22100.0,0.9022,0.4613,1.3635
22200.0,0.9003,0.4615,1.3618000000000001
22300.0,0.9029,0.4604,1.3633
22400.0,0.9012,0.4619,1.3631
22500.0,0.8996,0.4622,1.3618
22600.0,0.8982,0.4602,1.3584
22700.0,0.9017,0.4602,1.3618999999999999
22800.0,0.8978,0.4601,1.3579
22900.0,0.9039,0.4602,1.3641
23000.0,0.8985,0.4629,1.3614
23100.0,0.8999,0.4611,1.361
23200.0,0.8988,0.4611,1.3599
23300.0,0.8998,0.4617,1.3615
23400.0,0.9045,0.4608,1.3653
23500.0,0.9033,0.4589,1.3622
23600.0,0.8956,0.4611,1.3567
23700.0,0.8966,0.4599,1.3565
23800.0,0.8986,0.459,1.3576
23900.0,0.8972,0.46,1.3572
24000.0,0.9001,0.4602,1.3603
24100.0,0.8988,0.4588,1.3576000000000001
24200.0,0.8971,0.46,1.3571
24300.0,0.8977,0.4581,1.3558000000000001
24400.0,0.8984,0.4596,1.358
24500.0,0.8988,0.4589,1.3577
24600.0,0.9026,0.4598,1.3624
24700.0,0.8958,0.4582,1.354
24800.0,0.899,0.4599,1.3589
24900.0,0.8928,0.4584,1.3512
25000.0,0.9003,0.4599,1.3601999999999999
25100.0,0.8969,0.4574,1.3543
25200.0,0.8964,0.4584,1.3548
25300.0,0.8945,0.4599,1.3544
25400.0,0.8968,0.4587,1.3555000000000001
25500.0,0.8935,0.459,1.3525
25600.0,0.9055,0.4607,1.3662
25700.0,0.8982,0.4581,1.3563
25800.0,0.8956,0.458,1.3536
25900.0,0.8946,0.4588,1.3534
26000.0,0.8956,0.4593,1.3549
26100.0,0.9005,0.4584,1.3589
26200.0,0.8949,0.4575,1.3524
26300.0,0.8999,0.459,1.3589
26400.0,0.9029,0.459,1.3619
26500.0,0.8971,0.4591,1.3562
26600.0,0.8979,0.458,1.3559
26700.0,0.8936,0.4584,1.3519999999999999
26800.0,0.8929,0.4583,1.3512
26900.0,0.8995,0.4579,1.3574
27000.0,0.9004,0.4584,1.3588
27100.0,0.9029,0.4583,1.3612
27200.0,0.8973,0.4578,1.3551
27300.0,0.8963,0.457,1.3533
27400.0,0.8969,0.4578,1.3547
27500.0,0.8939,0.4569,1.3508
27600.0,0.8898,0.4579,1.3477000000000001
27700.0,0.8911,0.4576,1.3487
27800.0,0.8965,0.4561,1.3526
27900.0,0.8935,0.4561,1.3496
28000.0,0.8908,0.4567,1.3475000000000001
28100.0,0.9008,0.4568,1.3576000000000001
28200.0,0.9021,0.4584,1.3605
28300.0,0.8981,0.4573,1.3554
28400.0,0.8924,0.4564,1.3488
28500.0,0.8961,0.4561,1.3522
28600.0,0.8931,0.4561,1.3492
28700.0,0.8935,0.4571,1.3506
28800.0,0.8971,0.4559,1.353
28900.0,0.8964,0.4568,1.3532
29000.0,0.8912,0.4581,1.3493
29100.0,0.8938,0.457,1.3508
29200.0,0.8934,0.4559,1.3493
29300.0,0.8929,0.4543,1.3472
29400.0,0.8962,0.456,1.3522
29500.0,0.8907,0.456,1.3467
29600.0,0.8968,0.4557,1.3525
29700.0,0.8896,0.4566,1.3462
29800.0,0.8929,0.4554,1.3483
29900.0,0.8918,0.4569,1.3487
30000.0,0.8933,0.4565,1.3498
