step,mloss,gloss,loss
15700.0,0.6566,0.3632,1.0198
15800.0,0.6582,0.3652,1.0234
15900.0,0.6738,0.3619,1.0356999999999998
16000.0,0.6566,0.3655,1.0221
16100.0,0.6592,0.3615,1.0207
16200.0,0.6539,0.3635,1.0174
16300.0,0.66,0.3596,1.0196
16400.0,0.662,0.3676,1.0296
16500.0,0.6623,0.3621,1.0244
16600.0,0.6563,0.3596,1.0159
16700.0,0.6525,0.3612,1.0137
16800.0,0.6579,0.3551,1.0130000000000001
16900.0,0.6607,0.3607,1.0213999999999999
17000.0,0.6558,0.366,1.0218
17100.0,0.6596,0.3622,1.0218
17200.0,0.6611,0.36,1.0211000000000001
17300.0,0.663,0.3573,1.0203
17400.0,0.663,0.3616,1.0246
17500.0,0.6452,0.3527,0.9979
17600.0,0.6505,0.3564,1.0069
17700.0,0.6721,0.3559,1.028
17800.0,0.6606,0.3607,1.0213
17900.0,0.6462,0.3537,0.9999
18000.0,0.6456,0.3529,0.9984999999999999
18100.0,0.6604,0.3516,1.012
18200.0,0.6558,0.3579,1.0137
18300.0,0.6505,0.3527,1.0032
18400.0,0.6539,0.3494,1.0033
18500.0,0.6573,0.3564,1.0137
18600.0,0.6461,0.3493,0.9954000000000001
18700.0,0.646,0.3507,0.9967
18800.0,0.6421,0.3523,0.9944
18900.0,0.6502,0.3559,1.0061
19000.0,0.6557,0.3517,1.0074
19100.0,0.648,0.3501,0.9981
19200.0,0.6498,0.3461,0.9959
19300.0,0.6597,0.3508,1.0105
19400.0,0.6514,0.3515,1.0029
19500.0,0.6455,0.3527,0.9982
19600.0,0.6425,0.3474,0.9899
19700.0,0.6523,0.3497,1.002
19800.0,0.6449,0.349,0.9939
19900.0,0.6444,0.3459,0.9903
20000.0,0.638,0.3484,0.9863999999999999
20100.0,0.655,0.3496,1.0046
20200.0,0.6402,0.3495,0.9897
20300.0,0.6528,0.3475,1.0003
20400.0,0.6622,0.3504,1.0126
20500.0,0.6453,0.3509,0.9962
20600.0,0.6417,0.3451,0.9868000000000001
20700.0,0.6439,0.342,0.9859
20800.0,0.655,0.3476,1.0026000000000002
20900.0,0.649,0.3501,0.9991000000000001
21000.0,0.6421,0.3411,0.9832000000000001
21100.0,0.6503,0.346,0.9963
21200.0,0.6579,0.353,1.0109
21300.0,0.6478,0.3442,0.992
21400.0,0.6483,0.3454,0.9937
21500.0,0.6594,0.3427,1.0021
21600.0,0.6364,0.3415,0.9779
21700.0,0.6516,0.3451,0.9966999999999999
21800.0,0.6425,0.3434,0.9859
21900.0,0.6433,0.3419,0.9852
22000.0,0.6548,0.3418,0.9966
22100.0,0.6469,0.3438,0.9907
22200.0,0.6555,0.3426,0.9981
22300.0,0.6488,0.3452,0.994
22400.0,0.6464,0.342,0.9884
22500.0,0.6481,0.3402,0.9883
22600.0,0.6406,0.3392,0.9798
22700.0,0.6411,0.3391,0.9802
22800.0,0.6555,0.3407,0.9962
22900.0,0.646,0.3375,0.9835
23000.0,0.6444,0.3421,0.9864999999999999
23100.0,0.6401,0.3338,0.9739
23200.0,0.6375,0.3359,0.9733999999999999
23300.0,0.6495,0.3383,0.9878
23400.0,0.6425,0.338,0.9804999999999999
23500.0,0.6398,0.339,0.9788000000000001
23600.0,0.6491,0.3382,0.9873000000000001
23700.0,0.6488,0.3373,0.9861
23800.0,0.648,0.3387,0.9867
23900.0,0.6502,0.3416,0.9918
24000.0,0.6417,0.3372,0.9789000000000001
24100.0,0.6452,0.3372,0.9823999999999999
24200.0,0.6538,0.3367,0.9905
24300.0,0.6492,0.3379,0.9871
24400.0,0.6307,0.3355,0.9662000000000001
24500.0,0.6404,0.3339,0.9742999999999999
24600.0,0.6434,0.3365,0.9799
24700.0,0.64,0.335,0.9750000000000001
24800.0,0.642,0.3384,0.9803999999999999
24900.0,0.6346,0.3334,0.968
25000.0,0.6379,0.3333,0.9712000000000001
25100.0,0.6413,0.3365,0.9778
25200.0,0.6459,0.3356,0.9815
25300.0,0.6394,0.334,0.9734
25400.0,0.6411,0.3358,0.9769
25500.0,0.6394,0.3346,0.974
25600.0,0.6441,0.3346,0.9787
25700.0,0.641,0.3323,0.9733
25800.0,0.6452,0.3323,0.9775
25900.0,0.6461,0.3338,0.9799
26000.0,0.6414,0.332,0.9734
26100.0,0.6587,0.3291,0.9878
26200.0,0.6426,0.3317,0.9742999999999999
26300.0,0.6378,0.3306,0.9684
26400.0,0.6375,0.332,0.9695
26500.0,0.6423,0.3337,0.976
26600.0,0.6353,0.3283,0.9636
26700.0,0.6357,0.3302,0.9659
26800.0,0.633,0.3299,0.9629000000000001
26900.0,0.6415,0.3297,0.9712
27000.0,0.6388,0.3301,0.9689000000000001
27100.0,0.6451,0.3304,0.9755
27200.0,0.6428,0.3268,0.9696
27300.0,0.6429,0.3275,0.9704
27400.0,0.6378,0.3298,0.9676
27500.0,0.6451,0.3297,0.9748
27600.0,0.6427,0.3287,0.9714
27700.0,0.6393,0.3253,0.9645999999999999
27800.0,0.6359,0.3261,0.962
27900.0,0.6349,0.3302,0.9651000000000001
28000.0,0.6479,0.3271,0.9750000000000001
28100.0,0.6502,0.3275,0.9777
28200.0,0.6368,0.3252,0.962
28300.0,0.6457,0.3286,0.9743
28400.0,0.6393,0.3224,0.9617
28500.0,0.6399,0.3264,0.9663
28600.0,0.633,0.3266,0.9596
28700.0,0.6503,0.3253,0.9756
28800.0,0.636,0.3245,0.9605
28900.0,0.6468,0.3229,0.9697
29000.0,0.6368,0.324,0.9608000000000001
29100.0,0.6376,0.3252,0.9627999999999999
29200.0,0.6383,0.3253,0.9636
29300.0,0.6401,0.3236,0.9637
29400.0,0.6444,0.3262,0.9705999999999999
29500.0,0.6435,0.3241,0.9676
29600.0,0.6287,0.3208,0.9495
29700.0,0.6389,0.3207,0.9596
29800.0,0.629,0.3231,0.9521
29900.0,0.6329,0.3233,0.9561999999999999
30000.0,0.6386,0.323,0.9616
